+---------------------------------------------------+
| Time of Transition | PID | Old State |  New State |
+---------------------------------------------------+
|                  0 |   1 |       NEW |      READY |
|                  0 |   2 |       NEW |      READY |
|                  0 |   3 |       NEW |      READY |
|                  0 |   4 |       NEW |      READY |
|                  0 |   5 |       NEW |      READY |
|                  0 |   1 |     READY |    RUNNING |
|                 10 |   1 |   RUNNING |    WAITING |
|                 10 |   2 |     READY |    RUNNING |
|                 15 |   2 |   RUNNING |    WAITING |
|                 15 |   3 |     READY |    RUNNING |
|                 20 |   1 |   WAITING |      READY |
|                 20 |   2 |   WAITING |      READY |
|                 21 |   3 |   RUNNING |    WAITING |
|                 21 |   1 |     READY |    RUNNING |
|                 27 |   3 |   WAITING |      READY |
|                 31 |   1 |   RUNNING |    WAITING |
|                 31 |   2 |     READY |    RUNNING |
|                 36 |   2 |   RUNNING |    WAITING |
|                 36 |   3 |     READY |    RUNNING |
|                 41 |   1 |   WAITING |      READY |
|                 41 |   2 |   WAITING |      READY |
|                 42 |   3 |   RUNNING |    WAITING |
|                 42 |   1 |     READY |    RUNNING |
|                 48 |   3 |   WAITING |      READY |
|                 52 |   1 |   RUNNING |    WAITING |
|                 52 |   2 |     READY |    RUNNING |
|                 57 |   2 |   RUNNING |    WAITING |
|                 57 |   3 |     READY |    RUNNING |
|                 62 |   1 |   WAITING |      READY |
|                 62 |   2 |   WAITING |      READY |
|                 63 |   3 |   RUNNING |    WAITING |
|                 63 |   1 |     READY |    RUNNING |
|                 69 |   3 |   WAITING |      READY |
|                 73 |   1 |   RUNNING |    WAITING |
|                 73 |   2 |     READY |    RUNNING |
|                 78 |   2 |   RUNNING |    WAITING |
|                 78 |   3 |     READY |    RUNNING |
|                 83 |   1 |   WAITING |      READY |
|                 83 |   2 |   WAITING |      READY |
|                 84 |   3 |   RUNNING |    WAITING |
|                 84 |   1 |     READY |    RUNNING |
|                 90 |   3 |   WAITING |      READY |
|                 94 |   1 |   RUNNING |    WAITING |
|                 94 |   2 |     READY |    RUNNING |
|                 99 |   2 |   RUNNING |    WAITING |
|                 99 |   3 |     READY |    RUNNING |
|                104 |   1 |   WAITING |      READY |
|                104 |   2 |   WAITING |      READY |
|                105 |   3 |   RUNNING |    WAITING |
|                105 |   1 |     READY |    RUNNING |
|                111 |   3 |   WAITING |      READY |
|                115 |   1 |   RUNNING | TERMINATED |
|                115 |   2 |     READY |    RUNNING |
|                120 |   2 |   RUNNING | TERMINATED |
|                120 |   3 |     READY |    RUNNING |
|                126 |   3 |   RUNNING |    WAITING |
|                126 |   4 |     READY |    RUNNING |
|                132 |   3 |   WAITING |      READY |
|                134 |   4 |   RUNNING |    WAITING |
|                134 |   3 |     READY |    RUNNING |
|                138 |   4 |   WAITING |      READY |
|                140 |   3 |   RUNNING |    WAITING |
|                140 |   4 |     READY |    RUNNING |
|                146 |   3 |   WAITING |      READY |
|                148 |   4 |   RUNNING |    WAITING |
|                148 |   3 |     READY |    RUNNING |
|                151 |   3 |   RUNNING | TERMINATED |
|                151 |   5 |     READY |    RUNNING |
|                152 |   4 |   WAITING |      READY |
|                171 |   5 |   RUNNING |    WAITING |
|                171 |   4 |     READY |    RUNNING |
|                179 |   4 |   RUNNING |    WAITING |
|                181 |   5 |   WAITING |      READY |
|                181 |   5 |     READY |    RUNNING |
|                183 |   4 |   WAITING |      READY |
|                201 |   5 |   RUNNING |    WAITING |
|                201 |   4 |     READY |    RUNNING |
|                202 |   4 |   RUNNING | TERMINATED |
|                211 |   5 |   WAITING |      READY |
|                211 |   5 |     READY |    RUNNING |
|                231 |   5 |   RUNNING |    WAITING |
|                241 |   5 |   WAITING |      READY |
|                241 |   5 |     READY |    RUNNING |
|                261 |   5 |   RUNNING | TERMINATED |
+---------------------------------------------------+
