+---------------------------------------------------+
| Time of Transition | PID | Old State |  New State |
+---------------------------------------------------+
|                  0 |   1 |       NEW |      READY |
|                  0 |   1 |     READY |    RUNNING |
|                  3 |   2 |       NEW |      READY |
|                  6 |   3 |       NEW |      READY |
|                100 |   1 |   RUNNING |    WAITING |
|                100 |   2 |     READY |    RUNNING |
|                120 |   1 |   WAITING |      READY |
|                200 |   2 |   RUNNING |      READY |
|                200 |   1 |     READY |    RUNNING |
|                201 |   1 |   RUNNING |      READY |
|                201 |   1 |     READY |    RUNNING |
|                300 |   1 |   RUNNING |    WAITING |
|                300 |   2 |     READY |    RUNNING |
|                320 |   1 |   WAITING |      READY |
|                400 |   2 |   RUNNING |      READY |
|                400 |   1 |     READY |    RUNNING |
|                401 |   1 |   RUNNING |      READY |
|                401 |   1 |     READY |    RUNNING |
|                500 |   1 |   RUNNING |    WAITING |
|                500 |   2 |     READY |    RUNNING |
|                520 |   1 |   WAITING |      READY |
|                600 |   2 |   RUNNING |    WAITING |
|                600 |   1 |     READY |    RUNNING |
|                601 |   1 |   RUNNING |      READY |
|                601 |   1 |     READY |    RUNNING |
|                630 |   2 |   WAITING |      READY |
|                700 |   1 |   RUNNING |    WAITING |
|                700 |   2 |     READY |    RUNNING |
|                701 |   2 |   RUNNING |      READY |
|                701 |   2 |     READY |    RUNNING |
|                720 |   1 |   WAITING |      READY |
|                801 |   2 |   RUNNING |      READY |
|                801 |   1 |     READY |    RUNNING |
|                802 |   1 |   RUNNING |      READY |
|                802 |   1 |     READY |    RUNNING |
|                901 |   1 |   RUNNING |    WAITING |
|                901 |   2 |     READY |    RUNNING |
|                921 |   1 |   WAITING |      READY |
|               1001 |   2 |   RUNNING |      READY |
|               1001 |   1 |     READY |    RUNNING |
|               1002 |   1 |   RUNNING |      READY |
|               1002 |   1 |     READY |    RUNNING |
|               1101 |   1 |   RUNNING |    WAITING |
|               1101 |   2 |     READY |    RUNNING |
|               1121 |   1 |   WAITING |      READY |
|               1200 |   2 |   RUNNING |    WAITING |
|               1200 |   1 |     READY |    RUNNING |
|               1201 |   1 |   RUNNING |      READY |
|               1201 |   1 |     READY |    RUNNING |
|               1230 |   2 |   WAITING |      READY |
|               1300 |   1 |   RUNNING |    WAITING |
|               1300 |   2 |     READY |    RUNNING |
|               1301 |   2 |   RUNNING |      READY |
|               1301 |   2 |     READY |    RUNNING |
|               1320 |   1 |   WAITING |      READY |
|               1350 |   2 |   RUNNING | TERMINATED |
|               1350 |   1 |     READY |    RUNNING |
|               1351 |   4 |       NEW |      READY |
|               1351 |   1 |   RUNNING |      READY |
|               1351 |   1 |     READY |    RUNNING |
|               1450 |   1 |   RUNNING | TERMINATED |
|               1450 |   3 |     READY |    RUNNING |
|               1550 |   3 |   RUNNING |      READY |
|               1550 |   3 |     READY |    RUNNING |
|               1650 |   3 |   RUNNING |      READY |
|               1650 |   3 |     READY |    RUNNING |
|               1750 |   3 |   RUNNING |      READY |
|               1750 |   3 |     READY |    RUNNING |
|               1850 |   3 |   RUNNING |      READY |
|               1850 |   3 |     READY |    RUNNING |
|               1950 |   3 |   RUNNING |    WAITING |
|               1950 |   4 |     READY |    RUNNING |
|               1990 |   3 |   WAITING |      READY |
|               2050 |   4 |   RUNNING |      READY |
|               2050 |   3 |     READY |    RUNNING |
|               2051 |   3 |   RUNNING |      READY |
|               2051 |   3 |     READY |    RUNNING |
|               2151 |   3 |   RUNNING |      READY |
|               2151 |   3 |     READY |    RUNNING |
|               2250 |   3 |   RUNNING | TERMINATED |
|               2250 |   4 |     READY |    RUNNING |
|               2251 |   5 |       NEW |      READY |
|               2350 |   4 |   RUNNING |      READY |
|               2350 |   4 |     READY |    RUNNING |
|               2400 |   4 |   RUNNING |    WAITING |
|               2400 |   5 |     READY |    RUNNING |
|               2425 |   4 |   WAITING |      READY |
|               2500 |   5 |   RUNNING |      READY |
|               2500 |   4 |     READY |    RUNNING |
|               2550 |   4 |   RUNNING |      READY |
|               2550 |   4 |     READY |    RUNNING |
|               2650 |   4 |   RUNNING |      READY |
|               2650 |   4 |     READY |    RUNNING |
|               2750 |   4 |   RUNNING |    WAITING |
|               2750 |   5 |     READY |    RUNNING |
|               2775 |   4 |   WAITING |      READY |
|               2850 |   5 |   RUNNING |      READY |
|               2850 |   4 |     READY |    RUNNING |
|               2851 |   4 |   RUNNING |      READY |
|               2851 |   4 |     READY |    RUNNING |
|               2900 |   4 |   RUNNING | TERMINATED |
|               2900 |   5 |     READY |    RUNNING |
|               3000 |   5 |   RUNNING |      READY |
|               3000 |   5 |     READY |    RUNNING |
|               3100 |   5 |   RUNNING |      READY |
|               3100 |   5 |     READY |    RUNNING |
|               3200 |   5 |   RUNNING |      READY |
|               3200 |   5 |     READY |    RUNNING |
|               3300 |   5 |   RUNNING |    WAITING |
|               3350 |   5 |   WAITING |      READY |
|               3350 |   5 |     READY |    RUNNING |
|               3351 |   5 |   RUNNING |      READY |
|               3351 |   5 |     READY |    RUNNING |
|               3451 |   5 |   RUNNING |      READY |
|               3451 |   5 |     READY |    RUNNING |
|               3551 |   5 |   RUNNING |      READY |
|               3551 |   5 |     READY |    RUNNING |
|               3650 |   5 |   RUNNING | TERMINATED |
+---------------------------------------------------+
