+-----------------------------------------------------------------------------------------------+
| Time of Event | Memory Used |       Partitions State | Total Free Memory | Usable Free Memory |
+-----------------------------------------------------------------------------------------------+
|             0 |           0 | -1, -1, -1, -1, -1, -1 |               100 |                100 |
|             0 |          10 |  -1, -1, -1, 1, -1, -1 |                90 |                 90 |
|             1 |          18 |   -1, -1, -1, 1, 2, -1 |                82 |                 82 |
|             3 |          30 |    -1, -1, 3, 1, 2, -1 |                70 |                 67 |
|             5 |          45 |     -1, 4, 3, 1, 2, -1 |                55 |                 42 |
|             7 |          65 |      5, 4, 3, 1, 2, -1 |                35 |                  2 |
|           840 |          57 |     5, 4, 3, 1, -1, -1 |                43 |                 10 |
|           940 |          47 |    5, 4, 3, -1, -1, -1 |                53 |                 20 |
|          1780 |          32 |   5, -1, 3, -1, -1, -1 |                68 |                 45 |
|          1870 |          20 |  5, -1, -1, -1, -1, -1 |                80 |                 60 |
|          2605 |           0 | -1, -1, -1, -1, -1, -1 |               100 |                100 |
+-----------------------------------------------------------------------------------------------+
