+-----------------------------------------------------------------------------------------------+
| Time of Event | Memory Used |       Partitions State | Total Free Memory | Usable Free Memory |
+-----------------------------------------------------------------------------------------------+
|             0 |           0 | -1, -1, -1, -1, -1, -1 |               100 |                100 |
|             0 |          12 |  -1, -1, 1, -1, -1, -1 |                88 |                 85 |
|            10 |          28 |   -1, 2, 1, -1, -1, -1 |                72 |                 60 |
|            15 |          48 |    3, 2, 1, -1, -1, -1 |                52 |                 20 |
|            20 |          58 |     3, 2, 1, 4, -1, -1 |                42 |                 10 |
|          2322 |          42 |    3, -1, 1, 4, -1, -1 |                58 |                 35 |
|          2323 |          56 |     3, 5, 1, 4, -1, -1 |                44 |                 10 |
|          2591 |          46 |    3, 5, 1, -1, -1, -1 |                54 |                 20 |
|          2870 |          26 |   -1, 5, 1, -1, -1, -1 |                74 |                 60 |
|          2930 |          14 |  -1, 5, -1, -1, -1, -1 |                86 |                 75 |
|          3105 |           0 | -1, -1, -1, -1, -1, -1 |               100 |                100 |
+-----------------------------------------------------------------------------------------------+
