+-----------------------------------------------------------------------------------------------+
| Time of Event | Memory Used |       Partitions State | Total Free Memory | Usable Free Memory |
+-----------------------------------------------------------------------------------------------+
|             0 |           0 | -1, -1, -1, -1, -1, -1 |               100 |                100 |
|             0 |          10 |  -1, -1, -1, 1, -1, -1 |                90 |                 90 |
|             1 |          18 |   -1, -1, -1, 1, 2, -1 |                82 |                 82 |
|             3 |          30 |    -1, -1, 3, 1, 2, -1 |                70 |                 67 |
|             5 |          45 |     -1, 4, 3, 1, 2, -1 |                55 |                 42 |
|             7 |          65 |      5, 4, 3, 1, 2, -1 |                35 |                  2 |
|          1603 |          57 |     5, 4, 3, 1, -1, -1 |                43 |                 10 |
|          2142 |          45 |    5, 4, -1, 1, -1, -1 |                55 |                 25 |
|          2281 |          30 |   5, -1, -1, 1, -1, -1 |                70 |                 50 |
|          2321 |          20 |  5, -1, -1, -1, -1, -1 |                80 |                 60 |
|          2560 |           0 | -1, -1, -1, -1, -1, -1 |               100 |                100 |
+-----------------------------------------------------------------------------------------------+
