+---------------------------------------------------+
| Time of Transition | PID | Old State |  New State |
+---------------------------------------------------+
|                  0 |   1 |       NEW |      READY |
|                  0 |   1 |     READY |    RUNNING |
|                  2 |   2 |       NEW |      READY |
|                  4 |   3 |       NEW |      READY |
|                  6 |   4 |       NEW |      READY |
|                  8 |   5 |       NEW |      READY |
|                 50 |   1 |   RUNNING |    WAITING |
|                 50 |   2 |     READY |    RUNNING |
|                 80 |   2 |   RUNNING |    WAITING |
|                 80 |   3 |     READY |    RUNNING |
|                110 |   1 |   WAITING |      READY |
|                120 |   2 |   WAITING |      READY |
|                160 |   3 |   RUNNING |    WAITING |
|                160 |   1 |     READY |    RUNNING |
|                210 |   1 |   RUNNING |    WAITING |
|                210 |   2 |     READY |    RUNNING |
|                230 |   3 |   WAITING |      READY |
|                240 |   2 |   RUNNING |    WAITING |
|                240 |   3 |     READY |    RUNNING |
|                260 |   3 |   RUNNING |      READY |
|                260 |   4 |     READY |    RUNNING |
|                270 |   1 |   WAITING |      READY |
|                270 |   4 |   RUNNING |    WAITING |
|                270 |   1 |     READY |    RUNNING |
|                271 |   1 |   RUNNING |      READY |
|                271 |   5 |     READY |    RUNNING |
|                280 |   2 |   WAITING |      READY |
|                285 |   4 |   WAITING |      READY |
|                311 |   5 |   RUNNING |    WAITING |
|                311 |   2 |     READY |    RUNNING |
|                341 |   2 |   RUNNING |    WAITING |
|                341 |   4 |     READY |    RUNNING |
|                351 |   4 |   RUNNING |    WAITING |
|                351 |   3 |     READY |    RUNNING |
|                366 |   4 |   WAITING |      READY |
|                366 |   5 |   WAITING |      READY |
|                381 |   2 |   WAITING |      READY |
|                411 |   3 |   RUNNING |    WAITING |
|                411 |   2 |     READY |    RUNNING |
|                421 |   2 |   RUNNING |      READY |
|                421 |   4 |     READY |    RUNNING |
|                431 |   4 |   RUNNING |    WAITING |
|                431 |   5 |     READY |    RUNNING |
|                446 |   4 |   WAITING |      READY |
|                471 |   5 |   RUNNING |    WAITING |
|                471 |   4 |     READY |    RUNNING |
|                481 |   3 |   WAITING |      READY |
|                481 |   4 |   RUNNING |    WAITING |
|                481 |   3 |     READY |    RUNNING |
|                496 |   4 |   WAITING |      READY |
|                521 |   3 |   RUNNING |      READY |
|                521 |   4 |     READY |    RUNNING |
|                526 |   5 |   WAITING |      READY |
|                531 |   4 |   RUNNING |    WAITING |
|                531 |   5 |     READY |    RUNNING |
|                546 |   4 |   WAITING |      READY |
|                551 |   5 |   RUNNING |      READY |
|                551 |   4 |     READY |    RUNNING |
|                561 |   4 |   RUNNING |    WAITING |
|                561 |   1 |     READY |    RUNNING |
|                576 |   4 |   WAITING |      READY |
|                610 |   1 |   RUNNING |    WAITING |
|                610 |   4 |     READY |    RUNNING |
|                620 |   4 |   RUNNING |    WAITING |
|                620 |   2 |     READY |    RUNNING |
|                635 |   4 |   WAITING |      READY |
|                640 |   2 |   RUNNING |    WAITING |
|                640 |   4 |     READY |    RUNNING |
|                650 |   4 |   RUNNING |    WAITING |
|                650 |   3 |     READY |    RUNNING |
|                665 |   4 |   WAITING |      READY |
|                670 |   1 |   WAITING |      READY |
|                680 |   2 |   WAITING |      READY |
|                690 |   3 |   RUNNING |    WAITING |
|                690 |   4 |     READY |    RUNNING |
|                700 |   4 |   RUNNING |    WAITING |
|                700 |   1 |     READY |    RUNNING |
