+---------------------------------------------------+
| Time of Transition | PID | Old State |  New State |
+---------------------------------------------------+
|                  0 |   1 |       NEW |      READY |
|                  0 |   1 |     READY |    RUNNING |
|                  1 |   2 |       NEW |      READY |
|                  2 |   3 |       NEW |      READY |
|                  3 |   4 |       NEW |      READY |
|                  4 |   5 |       NEW |      READY |
|                 40 |   1 |   RUNNING |    WAITING |
|                 40 |   2 |     READY |    RUNNING |
|                 45 |   1 |   WAITING |      READY |
|                 82 |   2 |   RUNNING |    WAITING |
|                 82 |   1 |     READY |    RUNNING |
|                 87 |   2 |   WAITING |      READY |
|                122 |   1 |   RUNNING |    WAITING |
|                122 |   2 |     READY |    RUNNING |
|                127 |   1 |   WAITING |      READY |
|                164 |   2 |   RUNNING |    WAITING |
|                164 |   1 |     READY |    RUNNING |
|                169 |   2 |   WAITING |      READY |
|                184 |   1 |   RUNNING |      READY |
|                184 |   2 |     READY |    RUNNING |
|                200 |   2 |   RUNNING |      READY |
|                200 |   3 |     READY |    RUNNING |
|                244 |   3 |   RUNNING |    WAITING |
|                244 |   4 |     READY |    RUNNING |
|                249 |   3 |   WAITING |      READY |
|                290 |   4 |   RUNNING |    WAITING |
|                290 |   3 |     READY |    RUNNING |
|                295 |   4 |   WAITING |      READY |
|                334 |   3 |   RUNNING |    WAITING |
|                334 |   4 |     READY |    RUNNING |
|                339 |   3 |   WAITING |      READY |
|                380 |   4 |   RUNNING |    WAITING |
|                380 |   3 |     READY |    RUNNING |
|                385 |   4 |   WAITING |      READY |
|                392 |   3 |   RUNNING |      READY |
|                392 |   4 |     READY |    RUNNING |
|                400 |   4 |   RUNNING |      READY |
|                400 |   5 |     READY |    RUNNING |
|                448 |   5 |   RUNNING |    WAITING |
|                448 |   1 |     READY |    RUNNING |
|                453 |   5 |   WAITING |      READY |
|                468 |   1 |   RUNNING |    WAITING |
|                468 |   5 |     READY |    RUNNING |
|                473 |   1 |   WAITING |      READY |
|                516 |   5 |   RUNNING |    WAITING |
|                516 |   1 |     READY |    RUNNING |
|                521 |   5 |   WAITING |      READY |
|                556 |   1 |   RUNNING |    WAITING |
|                556 |   5 |     READY |    RUNNING |
|                560 |   5 |   RUNNING |      READY |
|                560 |   2 |     READY |    RUNNING |
|                561 |   1 |   WAITING |      READY |
|                586 |   2 |   RUNNING |    WAITING |
|                586 |   1 |     READY |    RUNNING |
|                591 |   2 |   WAITING |      READY |
|                626 |   1 |   RUNNING |    WAITING |
|                626 |   2 |     READY |    RUNNING |
|                631 |   1 |   WAITING |      READY |
|                668 |   2 |   RUNNING |    WAITING |
|                668 |   1 |     READY |    RUNNING |
|                669 |   1 |   RUNNING |      READY |
|                669 |   3 |     READY |    RUNNING |
|                673 |   2 |   WAITING |      READY |
|                701 |   3 |   RUNNING |    WAITING |
|                701 |   2 |     READY |    RUNNING |
|                706 |   3 |   WAITING |      READY |
|                733 |   2 |   RUNNING |      READY |
|                733 |   3 |     READY |    RUNNING |
|                777 |   3 |   RUNNING |    WAITING |
|                777 |   4 |     READY |    RUNNING |
|                782 |   3 |   WAITING |      READY |
|                815 |   4 |   RUNNING |    WAITING |
|                815 |   3 |     READY |    RUNNING |
|                820 |   4 |   WAITING |      READY |
|                839 |   3 |   RUNNING |      READY |
|                839 |   4 |     READY |    RUNNING |
|                885 |   4 |   RUNNING |    WAITING |
