+---------------------------------------------------+
| Time of Transition | PID | Old State |  New State |
+---------------------------------------------------+
|                  0 |   1 |       NEW |      READY |
|                  0 |   1 |     READY |    RUNNING |
|                  1 |   2 |       NEW |      READY |
|                  3 |   3 |       NEW |      READY |
|                  5 |   4 |       NEW |      READY |
|                  7 |   5 |       NEW |      READY |
|                 40 |   1 |   RUNNING |    WAITING |
|                 40 |   2 |     READY |    RUNNING |
|                 45 |   1 |   WAITING |      READY |
|                 65 |   2 |   RUNNING |    WAITING |
|                 65 |   1 |     READY |    RUNNING |
|                 70 |   2 |   WAITING |      READY |
|                105 |   1 |   RUNNING |    WAITING |
|                105 |   2 |     READY |    RUNNING |
|                110 |   1 |   WAITING |      READY |
|                130 |   2 |   RUNNING |    WAITING |
|                130 |   1 |     READY |    RUNNING |
|                135 |   2 |   WAITING |      READY |
|                150 |   1 |   RUNNING |      READY |
|                150 |   2 |     READY |    RUNNING |
|                175 |   2 |   RUNNING |    WAITING |
|                175 |   3 |     READY |    RUNNING |
|                180 |   2 |   WAITING |      READY |
|                195 |   3 |   RUNNING |    WAITING |
|                195 |   2 |     READY |    RUNNING |
|                200 |   3 |   WAITING |      READY |
|                220 |   2 |   RUNNING |    WAITING |
|                220 |   3 |     READY |    RUNNING |
|                225 |   2 |   WAITING |      READY |
|                240 |   3 |   RUNNING |    WAITING |
|                240 |   2 |     READY |    RUNNING |
|                241 |   2 |   RUNNING |      READY |
|                241 |   4 |     READY |    RUNNING |
|                245 |   3 |   WAITING |      READY |
|                271 |   4 |   RUNNING |    WAITING |
|                271 |   3 |     READY |    RUNNING |
|                276 |   4 |   WAITING |      READY |
|                291 |   3 |   RUNNING |    WAITING |
|                291 |   4 |     READY |    RUNNING |
|                296 |   3 |   WAITING |      READY |
|                321 |   4 |   RUNNING |    WAITING |
|                321 |   3 |     READY |    RUNNING |
|                326 |   4 |   WAITING |      READY |
|                341 |   3 |   RUNNING |    WAITING |
|                341 |   4 |     READY |    RUNNING |
|                346 |   3 |   WAITING |      READY |
|                371 |   4 |   RUNNING |    WAITING |
|                371 |   3 |     READY |    RUNNING |
|                376 |   4 |   WAITING |      READY |
|                391 |   3 |   RUNNING |    WAITING |
|                391 |   4 |     READY |    RUNNING |
|                396 |   3 |   WAITING |      READY |
|                401 |   4 |   RUNNING |      READY |
|                401 |   3 |     READY |    RUNNING |
|                402 |   3 |   RUNNING |      READY |
|                402 |   5 |     READY |    RUNNING |
|                452 |   5 |   RUNNING |    WAITING |
|                452 |   1 |     READY |    RUNNING |
|                457 |   5 |   WAITING |      READY |
|                472 |   1 |   RUNNING |    WAITING |
|                472 |   5 |     READY |    RUNNING |
|                477 |   1 |   WAITING |      READY |
|                522 |   5 |   RUNNING |    WAITING |
|                522 |   1 |     READY |    RUNNING |
|                527 |   5 |   WAITING |      READY |
|                562 |   1 |   RUNNING |    WAITING |
|                562 |   5 |     READY |    RUNNING |
|                563 |   5 |   RUNNING |      READY |
|                563 |   2 |     READY |    RUNNING |
|                567 |   1 |   WAITING |      READY |
|                587 |   2 |   RUNNING |    WAITING |
|                587 |   1 |     READY |    RUNNING |
|                592 |   2 |   WAITING |      READY |
|                627 |   1 |   RUNNING |    WAITING |
|                627 |   2 |     READY |    RUNNING |
|                632 |   1 |   WAITING |      READY |
|                652 |   2 |   RUNNING |    WAITING |
