+---------------------------------------------------+
| Time of Transition | PID | Old State |  New State |
|               1115 |   4 |   RUNNING |    WAITING |
|               1120 |   5 |   WAITING |      READY |
|               1120 |   5 |     READY |    RUNNING |
|               1135 |   3 |   WAITING |      READY |
|               1135 |   4 |   WAITING |      READY |
|               1160 |   5 |   RUNNING |    WAITING |
|               1160 |   3 |     READY |    RUNNING |
|               1175 |   3 |   RUNNING |    WAITING |
|               1175 |   4 |     READY |    RUNNING |
|               1185 |   4 |   RUNNING |    WAITING |
|               1190 |   5 |   WAITING |      READY |
|               1190 |   5 |     READY |    RUNNING |
|               1205 |   3 |   WAITING |      READY |
|               1205 |   4 |   WAITING |      READY |
|               1230 |   5 |   RUNNING |    WAITING |
|               1230 |   3 |     READY |    RUNNING |
|               1245 |   3 |   RUNNING |    WAITING |
|               1245 |   4 |     READY |    RUNNING |
|               1255 |   4 |   RUNNING |    WAITING |
|               1260 |   5 |   WAITING |      READY |
|               1260 |   5 |     READY |    RUNNING |
|               1275 |   3 |   WAITING |      READY |
|               1275 |   4 |   WAITING |      READY |
|               1300 |   5 |   RUNNING |    WAITING |
|               1300 |   3 |     READY |    RUNNING |
|               1315 |   3 |   RUNNING |    WAITING |
|               1315 |   4 |     READY |    RUNNING |
|               1325 |   4 |   RUNNING |    WAITING |
|               1330 |   5 |   WAITING |      READY |
|               1330 |   5 |     READY |    RUNNING |
|               1345 |   3 |   WAITING |      READY |
|               1345 |   4 |   WAITING |      READY |
|               1370 |   5 |   RUNNING |    WAITING |
|               1370 |   3 |     READY |    RUNNING |
|               1385 |   3 |   RUNNING |    WAITING |
|               1385 |   4 |     READY |    RUNNING |
|               1395 |   4 |   RUNNING |    WAITING |
|               1400 |   5 |   WAITING |      READY |
|               1400 |   5 |     READY |    RUNNING |
|               1415 |   3 |   WAITING |      READY |
|               1415 |   4 |   WAITING |      READY |
|               1440 |   5 |   RUNNING |    WAITING |
|               1440 |   3 |     READY |    RUNNING |
|               1455 |   3 |   RUNNING |    WAITING |
|               1455 |   4 |     READY |    RUNNING |
|               1465 |   4 |   RUNNING |    WAITING |
|               1470 |   5 |   WAITING |      READY |
|               1470 |   5 |     READY |    RUNNING |
|               1485 |   3 |   WAITING |      READY |
|               1485 |   4 |   WAITING |      READY |
|               1510 |   5 |   RUNNING |    WAITING |
|               1510 |   3 |     READY |    RUNNING |
|               1515 |   3 |   RUNNING | TERMINATED |
|               1515 |   4 |     READY |    RUNNING |
|               1525 |   4 |   RUNNING |    WAITING |
|               1540 |   5 |   WAITING |      READY |
|               1540 |   5 |     READY |    RUNNING |
|               1545 |   4 |   WAITING |      READY |
|               1580 |   5 |   RUNNING |    WAITING |
|               1580 |   4 |     READY |    RUNNING |
|               1590 |   4 |   RUNNING |    WAITING |
|               1610 |   4 |   WAITING |      READY |
|               1610 |   5 |   WAITING |      READY |
