+---------------------------------------------------+
| Time of Transition | PID | Old State |  New State |
+---------------------------------------------------+
|                  0 |   1 |       NEW |      READY |
|                  0 |   1 |     READY |    RUNNING |
|                  1 |   2 |       NEW |      READY |
|                  3 |   3 |       NEW |      READY |
|                  5 |   4 |       NEW |      READY |
|                  7 |   5 |       NEW |      READY |
|                 40 |   1 |   RUNNING |    WAITING |
|                 40 |   2 |     READY |    RUNNING |
|                 45 |   1 |   WAITING |      READY |
|                 65 |   2 |   RUNNING |    WAITING |
|                 65 |   1 |     READY |    RUNNING |
|                 70 |   2 |   WAITING |      READY |
|                105 |   1 |   RUNNING |    WAITING |
|                105 |   2 |     READY |    RUNNING |
|                110 |   1 |   WAITING |      READY |
|                130 |   2 |   RUNNING |    WAITING |
|                130 |   1 |     READY |    RUNNING |
|                135 |   2 |   WAITING |      READY |
|                170 |   1 |   RUNNING |    WAITING |
|                170 |   2 |     READY |    RUNNING |
|                175 |   1 |   WAITING |      READY |
|                195 |   2 |   RUNNING |    WAITING |
|                195 |   1 |     READY |    RUNNING |
|                200 |   2 |   WAITING |      READY |
|                235 |   1 |   RUNNING |    WAITING |
|                235 |   2 |     READY |    RUNNING |
|                240 |   1 |   WAITING |      READY |
|                260 |   2 |   RUNNING |    WAITING |
|                260 |   1 |     READY |    RUNNING |
|                265 |   2 |   WAITING |      READY |
|                300 |   1 |   RUNNING |    WAITING |
|                300 |   2 |     READY |    RUNNING |
|                305 |   1 |   WAITING |      READY |
|                325 |   2 |   RUNNING |    WAITING |
|                325 |   1 |     READY |    RUNNING |
|                330 |   2 |   WAITING |      READY |
|                365 |   1 |   RUNNING |    WAITING |
|                365 |   2 |     READY |    RUNNING |
|                370 |   1 |   WAITING |      READY |
|                390 |   2 |   RUNNING |    WAITING |
|                390 |   1 |     READY |    RUNNING |
|                395 |   2 |   WAITING |      READY |
|                430 |   1 |   RUNNING |    WAITING |
|                430 |   2 |     READY |    RUNNING |
|                435 |   1 |   WAITING |      READY |
|                455 |   2 |   RUNNING |    WAITING |
|                455 |   1 |     READY |    RUNNING |
|                460 |   2 |   WAITING |      READY |
|                495 |   1 |   RUNNING |    WAITING |
|                495 |   2 |     READY |    RUNNING |
|                500 |   1 |   WAITING |      READY |
|                520 |   2 |   RUNNING |    WAITING |
|                520 |   1 |     READY |    RUNNING |
|                525 |   2 |   WAITING |      READY |
|                560 |   1 |   RUNNING |    WAITING |
|                560 |   2 |     READY |    RUNNING |
|                565 |   1 |   WAITING |      READY |
|                585 |   2 |   RUNNING |    WAITING |
|                585 |   1 |     READY |    RUNNING |
|                590 |   2 |   WAITING |      READY |
|                625 |   1 |   RUNNING |    WAITING |
|                625 |   2 |     READY |    RUNNING |
|                630 |   1 |   WAITING |      READY |
|                650 |   2 |   RUNNING |    WAITING |
|                650 |   1 |     READY |    RUNNING |
|                655 |   2 |   WAITING |      READY |
|                690 |   1 |   RUNNING |    WAITING |
|                690 |   2 |     READY |    RUNNING |
|                695 |   1 |   WAITING |      READY |
|                715 |   2 |   RUNNING |    WAITING |
|                715 |   1 |     READY |    RUNNING |
|                720 |   2 |   WAITING |      READY |
|                755 |   1 |   RUNNING |    WAITING |
|                755 |   2 |     READY |    RUNNING |
|                760 |   1 |   WAITING |      READY |
|                780 |   2 |   RUNNING |    WAITING |
|                780 |   1 |     READY |    RUNNING |
