+---------------------------------------------------+
| Time of Transition | PID | Old State |  New State |
+---------------------------------------------------+
|                  0 |   1 |       NEW |      READY |
|                  0 |   1 |     READY |    RUNNING |
|                  1 |   2 |       NEW |      READY |
|                  2 |   3 |       NEW |      READY |
|                  3 |   4 |       NEW |      READY |
|                  4 |   5 |       NEW |      READY |
|                 40 |   1 |   RUNNING |    WAITING |
|                 40 |   2 |     READY |    RUNNING |
|                 45 |   1 |   WAITING |      READY |
|                 82 |   2 |   RUNNING |    WAITING |
|                 82 |   1 |     READY |    RUNNING |
|                 87 |   2 |   WAITING |      READY |
|                122 |   1 |   RUNNING |    WAITING |
|                122 |   2 |     READY |    RUNNING |
|                127 |   1 |   WAITING |      READY |
|                164 |   2 |   RUNNING |    WAITING |
|                164 |   1 |     READY |    RUNNING |
|                169 |   2 |   WAITING |      READY |
|                204 |   1 |   RUNNING |    WAITING |
|                204 |   2 |     READY |    RUNNING |
|                209 |   1 |   WAITING |      READY |
|                246 |   2 |   RUNNING |    WAITING |
|                246 |   1 |     READY |    RUNNING |
|                251 |   2 |   WAITING |      READY |
|                286 |   1 |   RUNNING |    WAITING |
|                286 |   2 |     READY |    RUNNING |
|                291 |   1 |   WAITING |      READY |
|                328 |   2 |   RUNNING |    WAITING |
|                328 |   1 |     READY |    RUNNING |
|                333 |   2 |   WAITING |      READY |
|                368 |   1 |   RUNNING |    WAITING |
|                368 |   2 |     READY |    RUNNING |
|                373 |   1 |   WAITING |      READY |
|                410 |   2 |   RUNNING |    WAITING |
|                410 |   1 |     READY |    RUNNING |
|                415 |   2 |   WAITING |      READY |
|                450 |   1 |   RUNNING |    WAITING |
|                450 |   2 |     READY |    RUNNING |
|                455 |   1 |   WAITING |      READY |
|                492 |   2 |   RUNNING |    WAITING |
|                492 |   1 |     READY |    RUNNING |
|                497 |   2 |   WAITING |      READY |
|                532 |   1 |   RUNNING |    WAITING |
|                532 |   2 |     READY |    RUNNING |
|                537 |   1 |   WAITING |      READY |
|                574 |   2 |   RUNNING |    WAITING |
|                574 |   1 |     READY |    RUNNING |
|                579 |   2 |   WAITING |      READY |
|                614 |   1 |   RUNNING |    WAITING |
|                614 |   2 |     READY |    RUNNING |
|                619 |   1 |   WAITING |      READY |
|                656 |   2 |   RUNNING |    WAITING |
|                656 |   1 |     READY |    RUNNING |
|                661 |   2 |   WAITING |      READY |
|                696 |   1 |   RUNNING |    WAITING |
|                696 |   2 |     READY |    RUNNING |
|                701 |   1 |   WAITING |      READY |
|                738 |   2 |   RUNNING |    WAITING |
|                738 |   1 |     READY |    RUNNING |
|                743 |   2 |   WAITING |      READY |
|                778 |   1 |   RUNNING | TERMINATED |
|                778 |   2 |     READY |    RUNNING |
|                820 |   2 |   RUNNING | TERMINATED |
|                820 |   3 |     READY |    RUNNING |
|                864 |   3 |   RUNNING |    WAITING |
|                864 |   4 |     READY |    RUNNING |
|                869 |   3 |   WAITING |      READY |
|                910 |   4 |   RUNNING |    WAITING |
|                910 |   3 |     READY |    RUNNING |
|                915 |   4 |   WAITING |      READY |
|                954 |   3 |   RUNNING |    WAITING |
|                954 |   4 |     READY |    RUNNING |
|                959 |   3 |   WAITING |      READY |
|               1000 |   4 |   RUNNING |    WAITING |
|               1000 |   3 |     READY |    RUNNING |
|               1005 |   4 |   WAITING |      READY |
