+-----------------------------------------------------------------------------------------------+
| Time of Event | Memory Used |       Partitions State | Total Free Memory | Usable Free Memory |
+-----------------------------------------------------------------------------------------------+
|             0 |           0 | -1, -1, -1, -1, -1, -1 |               100 |                100 |
|             0 |          10 |  -1, -1, -1, 1, -1, -1 |                90 |                 90 |
|             1 |          24 |   -1, -1, 2, 1, -1, -1 |                76 |                 75 |
|             2 |          42 |    -1, 3, 2, 1, -1, -1 |                58 |                 50 |
|             3 |          54 |     4, 3, 2, 1, -1, -1 |                46 |                 10 |
|           800 |          40 |    4, 3, -1, 1, -1, -1 |                60 |                 25 |
|           951 |          30 |   4, 3, -1, -1, -1, -1 |                70 |                 35 |
|          1510 |          12 |  4, -1, -1, -1, -1, -1 |                88 |                 60 |
|          1511 |          32 |   4, 5, -1, -1, -1, -1 |                68 |                 35 |
|          1950 |          20 |  -1, 5, -1, -1, -1, -1 |                80 |                 75 |
|          2900 |           0 | -1, -1, -1, -1, -1, -1 |               100 |                100 |
+-----------------------------------------------------------------------------------------------+
